Participant,Item,time,T,D,NP,ND,Away,SentenceType,HeadNoun
1,S3,2.08,0,0,0,1,0,-0.5,-0.5
1,S3,2.12,0,0,0,1,0,-0.5,-0.5
1,S3,2.16,0,0,0,1,0,-0.5,-0.5
1,S3,2.2,0,0,0,1,0,-0.5,-0.5
1,S3,2.24,1,0,0,0,0,-0.5,-0.5
1,S3,2.28,1,0,0,0,0,-0.5,-0.5
1,S3,2.32,1,0,0,0,0,-0.5,-0.5
1,S3,2.36,1,0,0,0,0,-0.5,-0.5
1,S3,2.4,1,0,0,0,0,-0.5,-0.5
1,S4,0,1,0,0,0,0,-0.5,-0.5
1,S4,0.04,1,0,0,0,0,-0.5,-0.5
1,S4,0.08,1,0,0,0,0,-0.5,-0.5
1,S4,0.12,1,0,0,0,0,-0.5,-0.5
1,S4,0.16,1,0,0,0,0,-0.5,-0.5
1,S4,0.2,1,0,0,0,0,-0.5,-0.5
1,S4,0.24,1,0,0,0,0,-0.5,-0.5
1,S4,0.28,0,0,0,0,1,-0.5,-0.5
1,S4,0.32,0,0,0,0,1,-0.5,-0.5
1,S4,0.36,0,0,0,0,1,-0.5,-0.5
1,S4,0.4,0,0,0,0,1,-0.5,-0.5
1,S4,0.44,0,0,0,0,1,-0.5,-0.5
1,S4,0.48,0,0,0,0,1,-0.5,-0.5
1,S4,0.52,0,0,0,0,1,-0.5,-0.5
1,S4,0.56,0,0,0,0,1,-0.5,-0.5
1,S4,0.6,0,0,0,0,1,-0.5,-0.5
1,S4,0.64,0,0,0,0,1,-0.5,-0.5
1,S4,0.68,0,0,0,0,1,-0.5,-0.5
1,S4,0.72,0,0,0,0,1,-0.5,-0.5
1,S4,0.76,0,0,0,0,1,-0.5,-0.5
1,S4,0.8,0,0,0,0,1,-0.5,-0.5
1,S4,0.84,0,0,0,0,1,-0.5,-0.5
1,S4,0.88,0,0,0,0,1,-0.5,-0.5
1,S4,0.92,0,0,0,0,1,-0.5,-0.5
1,S4,0.96,0,0,0,0,1,-0.5,-0.5
1,S4,1,0,0,0,0,1,-0.5,-0.5
1,S4,1.04,0,0,0,0,1,-0.5,-0.5
1,S4,1.08,0,0,0,0,1,-0.5,-0.5
1,S4,1.12,0,0,0,0,1,-0.5,-0.5
1,S4,1.16,0,0,0,0,1,-0.5,-0.5
1,S4,1.2,0,0,0,0,1,-0.5,-0.5
1,S4,1.24,0,0,0,0,1,-0.5,-0.5
1,S4,1.28,0,0,0,0,1,-0.5,-0.5
1,S4,1.32,0,0,0,0,1,-0.5,-0.5
1,S4,1.36,0,0,0,0,1,-0.5,-0.5
1,S4,1.4,1,0,0,0,0,-0.5,-0.5
1,S4,1.44,1,0,0,0,0,-0.5,-0.5
1,S4,1.48,1,0,0,0,0,-0.5,-0.5
1,S4,1.52,1,0,0,0,0,-0.5,-0.5
1,S4,1.56,1,0,0,0,0,-0.5,-0.5
1,S4,1.6,1,0,0,0,0,-0.5,-0.5
1,S4,1.64,1,0,0,0,0,-0.5,-0.5
1,S4,1.68,1,0,0,0,0,-0.5,-0.5
1,S4,1.72,1,0,0,0,0,-0.5,-0.5
1,S4,1.76,1,0,0,0,0,-0.5,-0.5
1,S4,1.8,1,0,0,0,0,-0.5,-0.5
1,S4,1.84,1,0,0,0,0,-0.5,-0.5
1,S4,1.88,1,0,0,0,0,-0.5,-0.5
1,S4,1.92,1,0,0,0,0,-0.5,-0.5
1,S4,1.96,1,0,0,0,0,-0.5,-0.5
